country,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.115,0.138,0.092,0.115,,,,,,,,,,,,,,,,,0.713,,,,,2.16,,,3.04,3.22,4.26,5.41,4.88,5.11,5.73,5.48,17.3,19.9,16.5,22.4,24.3,32.8,33.7,31.6,38.4,44.2,54.9,56,73.2,75.1,88.1,92.8,97.7,111,113,123,126,133,139,150,170,188,198,233,237,272,277,320,359,417,472,485,468,458,510,455,519,581,585,617,605,628,711,772,697,640,682,628,250,214,195,211,258,285,339,335,485,603,670,722,981,1180,1330,1480,1800,2030,2330,2380,2520,2550,3050,2680,1850,2360,2210,2340,2630,3160,3360,3820,4260,4620,4950,5230,5720,6480,7110,7780,8300,10.6k,11k,11.4k,12k,12.9k,13.7k,14.5k,15.3k,16.1k,16.5k,17.2k,18.1k,19.2k,20.2k,21.1k,21.9k,23.1k,23.9k,24.8k,25.6k,25.8k,26.8k,26.3k,26.8k,27.2k,27.5k,29.6k,29.7k,29.6k,30.3k,29.7k,27.8k,22.4k,21k,15.9k,12.4k,11.4k,11.7k,7310,6450,4690,3580,3790,4060,4410,4620,4940,5030,4980,5190,4540,4830,4950,4770,4900,4740,4790,4900,4810,5130
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,7.33,3.67,,,,,,,,,,7.33,,3.67,3.67,3.67,304,246,308,253,290,304,319,315,374,374,400,356,396,462,484,557,579,843,913,850,971,1030,1290,1070,1190,1690,993,846,1020,1130,1620,1030,1010,651,867,1050,1140,1280,1290,927,930,1010,981,1010,1250,1290,1340,1620,1710,1820,1870,1740,1230,1680,1790,1730,1670,1780,1870,1760,1940,2380,2740,3150,3270,3620,3880,4180,4280
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,3.67,3.67,3.67,7.33,11,14.7,22,29.3,44,47.7,47.7,51.3,58.7,66,80.7,80.7,95.3,125,172,154,231,198,198,249,290,330,301,422,451,462,594,506,667,601,759,781,843,884,935,986,1110,1090,1320,1300,1440,1480,1520
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521,579,532,539,495,579,689,737,755,1000,1310,1430,1560,1720,1710,1920,2270,3770,3700,4160,8410,8640,11.8k,10.2k,14.3k,17.2k,26.2k,30.7k,41.1k,76.3k,90.4k,85.6k,72.1k,67.9k,57.1k,44.7k,31.8k,24.1k,22.2k,20.4k,16.8k,16.2k,16.8k,18.9k,21.4k,22k,24.9k,24.3k,22.7k,23.2k,22.6k,19k,19.1k,20.1k,22.6k,25.6k,29.4k,30.5k,29k,30.5k,34.9k,37.2k,36.7k,36.3k,39.7k,42.2k,49.3k,54.1k,58.3k,63.1k,65.3k,63.8k,66.3k,74.3k,75.2k,80.9k,90.1k,94k,102k,114k,126k,132k,144k,155k,164k,184k,193k,222k,241k,268k,284k,304k,278k,277k,288k,294k,306k,306k,361k,317k,330k,333k,338k,352k,332k,346k,369k,389k,391k,396k,411k,412k,438k,439k,464k,477k,480k,493k,476k,464k,485k,497k,491k,482k,482k,486k,493k,478k
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,84.3,84.3,88,88,88,91.7,88,99,103,110,106,117,114,121,125,128,132,136,139,136,139,143,143,143,147,151
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3530,3850,4040,4140,4610,5220,5370,5320,5380,5750,5960,7790,8400,7870,9400,9440,9850,10.2k,9890,11.1k,12k,11.8k,12.9k,11.8k,12.7k,13.4k,13.7k,14.3k,14k,14.4k,14.4k,14.3k,10.1k,11k,10.2k,10.3k,10.7k,11.7k,10.6k,12.6k,11.7k,12.1k,12k,10.9k,11.3k,11.2k,11.3k,10.9k,9490,9400,8700,8600,9310,8820,7860,7540,7100,7050,7360,7270
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.7,121,117,139,176,176,198,191,224,198,161,202,227,246,268,304,341,341,414,395,428,392,395,365,417,435,406,380,358,383,416,423,434,449,460,468,472,494,529,770,803,832,840,858,858,891,917,1080,1300,1560,1790,1980,2160,2300,2650,2910,3100,3110,3440,3560
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246,257,242,231,308,341,297,312,330,389,341,293,330,411,499,473,414,521,638,653,664,660,840,807,744,667,763,803,935,906,1020,1140,1310,997,1360,1200,1490,1860,2010,2170,1940,2110,2310,2320,2490,2480,2440,2480,2490,2530,2530,2430,2420,2630,2540,2600,2610,2690,2760,2530,2530,2610,2770,2440,2430,1720,1410,1610,1580
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3160,3050,3090,2940,2980,3000,3070,3030,3110,3220,3090,3230,3180,3190,1030,411,308,297,7.33,25.7,154,103,803,917,1130,1310,1460,1420,1660,2100,2410,2780,2720,2590,2880,2640,2860,2730,2810,3620,2930,3220,4620,5100,4900,4110,4670,4590,4900,5170,5150,5090,5510,5630,5580,5760,6550,6680,6760,4950,4090,4430,4240,4140,4850,5310,6200,6910,7210,7450,8040,8940,10.1k,8690,9160,9790,12.4k,11.5k,12.8k,12.8k,9730,10.2k,13.1k,15.1k,11.9k,13k,16.2k,22.2k,25k,25.4k,26.4k
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474,518,542,557,619,702,722,715,722,773,801,1050,1130,1060,1260,1270,1320,1370,1330,1490,1620,1590,1730,1590,1710,1800,1840,1920,1880,1940,1930,1920,1360,1480,1290,1260,1330,1550,1670,1760,1210,1520,1670,1770,1890,2040,1750,2060,2060,2610,1680,2420,2410,2210,2150,2110,2240,2020,2030,2010
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,293,301,304,488,590,689,763,1140,1350,1290,1390,1970,1600,2050,1960,1950,2130,2480,2680,2850,3030,3280,3470,3740,4060,4390,4960,5770,6280,6860,6620,6720,6970,6430,9010,9600,10.5k,11.5k,10.5k,9900,12.1k,11k,9270,7930,7910,8030,7690,7690,7540,7490,7880,8270,8010,8580,8580,9410,12.1k,12k,13.1k,13.8k,21.4k,35.1k,43.6k,29.6k,23.3k,25.3k,26.4k,28.1k
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,22,11,11,11,62.3,51.3,66,47.7,51.3,58.7,40.3,66,66,58.7,29.3,51.3,55,47.7,55,58.7,44,58.7,902,931,1070,1080,1140,1380,1550,1770,1820,1800,1880,2630,1990,1660,2140,2000,2130,1870,2780,3240,2980,3610,3300,3560,3150,2880,2560,2710,2870,2640,3200,2480,2530,1960,1510,1140,978,978,1010,1040,1020,1020,1000,1080,1060,1110,1090,1170,1110,1170,1320,1560,1540,1860,1870,1770,1920,2190,2180,2440,2640,3110,2980,4060,8270,6310,7730,8020,8290
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,36.7,47.7,62.3,88,117,161,180,198,235,275,429,400,447,469,484,510,517,557,583,605,631,634,884,939,873,656,374,3250,3190,2810,854,869,906,928,957,1020,1060,1080,1070,1100,1110,1170,1250,1290,1390,1440,1420,1640,1770,1960,1960,2110,2330,2050,2500,2460,2300,2560,2660
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,3.67,7.33,3.67,7.33,7.33,7.33,7.33,14.7,14.7,14.7,14.7,14.7,11,11,25.7,25.7,25.7,14.7,18.3,18.3,22,22,25.7,29.3,29.3,29.3,29.3,29.3,29.3,29.3,29.3,33,33,36.7,33,29.3,29.3,25.7,25.7,36.7,36.7,36.7,36.7,36.7,40.3,47.7,47.7,66,40.3,44,51.3,47.7,58.7,29.3,29.6,29.8
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,80.7,91.7,91.7,91.7,114,117,161,143,165,169,172,172,209,235,246,271,297,308,330,363,535,785,950,1040,902,851,854,730,711,781,788,902,1030,1480,1210,1370,1640,1730,1520,1610,1400,1600,1580,1640,1640,1640,1630,1630,1630,1740,1820,1790,2000,2070,2200,2130,1930,1870,2030,2010,2220,2210,2210,2300,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,139,176,187,187,128,220,220,209,224,180,187,253,209,308,304,275,499,638,572,499,396,689,678,693,590,620,642,631,660,590,543,502,598,627,708,799,931,854,1050,1460,1520,1710,1770,1620,1830,1950,2000,2170,2430,2690,2860,2890,3060,3090,3300,3630,3690,3770,3710,3920,3920,3970,4070,4210,4210,4350,4740,4860
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,439,374,361,347,330,348,429,367,388,381,454,502,546,572,550,579,582,637,669,635,709,602,592,572,553,554,549,541,538,559,740,785,786,880,905,908,905,948,923,922,866,793,847,904,912,907,919,970,1090,1100,1030,1140,1130,1160,1020,1120,1260,1350,1380
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3190,4200,4690,4780,5830,7410,8390,9840,10.1k,10.5k,9150,14.6k,16.7k,17.9k,17.5k,19.1k,19.5k,23.9k,22.6k,23.3k,27.3k,28.1k,30.9k,30.7k,38.1k,34.8k,36.4k,40.1k,40.9k,42.9k,50.1k,56.9k,68.3k,74.4k,90.8k,93.1k,120k,124k,124k,114k,108k,127k,135k,136k,157k,172k,182k,179k,183k,203k,197k,217k,218k,216k,235k,241k,233k,247k,247k,255k
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060,1150,1390,1570,1620,1720,1770,1820,1660,1640,2020,1760,1870,1960,2310,2330,2360,3330,3070,3100,2770,3370,2600,3710,3960,4200,4230,4280
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,282,473,400,521,700,1170,1070,741,590,862,887,565,620,1100,1230,1510,1470,1840,1560,2390,2420,1710,2600,2780,2530,2390,2140,1540,1640,2000,1390,1260,1150,1200,1450,1400,1460,1500,1640,1580,1760,1580,1830,1970,2070,2190,1820,1810,2060,2220,1880,2400,2730,2520,2810,2710,2930,2850,2940,3560,3540,3640,3850,4880,4740,5320,5500,5760
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,22,29.3,55,66,88,95.3,91.7,136,132,161,191,216,231,253,330,290,334,333,366,417,479,571,684,746,963,992,995,900,998,988,1040,603,570,529,602,580,562,643,646,698,683,693,652,695,754,809,709,687,717,804,963,1170,1320,1760,1890,2050,2020,2010,2230,2320
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3,66,224,400,370,488,572,304,473,543,645,876,968,968,931,939,884,678,634,700,697,788,979,975,821,836,990,1240,1360,1660,1380,1640,1560,1640,1490,2260,1690,2180,2440,2570,2700,3010,3190,3730,3570,3410,4110,4180,5350,7270,11.8k,12.9k,12.8k,6630,12.1k,21.5k,32.3k,41.4k,49.6k,62.3k,47.4k,55.2k,50.5k,48.3k,70.2k,68.1k,65.9k,65.4k,59.8k,69.5k,69.7k,73.3k,59.1k,70.5k,42.2k,38.9k,42k,46.3k,44.9k,35k,33.4k,36.8k,41k,37.8k,39.6k,78.9k,86.8k,94.4k,100k,98.8k,106k,97.9k,94.3k,94.8k,74.9k,113k,130k,117k,122k,128k,114k,118k,123k,127k
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7.33,3.67,7.33,3.67,7.33,7.33,7.33,191,202,275,286,315,392,378,418,601,480,532,561,660,843,950,781,960,1080,1230,1290,1400,1510,1610,1830,1950,1930,2220,2840,2630,1710,2020,2140,2110,2000,1850,1990,2260,2430,2240,1470,2050,1990,2380,2290,2520,2760,2850,3120,3390,3600,3720,3930,3990,4340,4380,4270,4420,4550,4370,4450,4470,4810,4550,4350,4600,5250,5510,5500,5580
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,3.67,3.67,3.67,3.67,3.67,7.33,3.67,3.67,7.33,7.33,7.33,11,7.33,7.33,7.53,7.74
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2870,3870,3650,3330,3140,3120,3770,4170,5950,4650,4730,4220,3710,3530,4800,4410,5680,4090,3410,3850,4220,4040,4240,4370,4950,4980,5340,5140,4750,5420,6220,6310,6690,7220,7980,8030,8140,9020,9020,9430,9630,9790,10.9k,10.6k,10.3k,11.9k,11.3k,11.5k,11.6k,11.6k,12.5k,13.1k,12.9k,13.3k,14.6k,14.3k,14.3k,15.3k,16.2k,16.6k,18.1k,18.6k,18.9k,19.9k,20.9k,22.1k,24.9k,27.6k,25.8k,24.6k,22.4k,8660,14.5k,22k,22.2k,23.3k,27.3k,27.2k,30.6k,33.6k,34.4k,38k,38k,41.3k,40.8k,45k,41.5k,38.6k,38.7k,37.3k,39.9k,44k,43.3k,40.7k,33.5k,37.2k,34.6k,35k,23.4k,14.7k,31.1k,44.6k,47.3k,50.5k,51.3k,55k,54.8k,55.3k,58.4k,61k,65.1k,64.5k,66.8k,67.2k,73.5k,75.9k,83.4k,91.2k,96.9k,100k,104k,107k,114k,116k,142k,141k,158k,165k,160k,153k,169k,164k,170k,187k,177k,164k,134k,137k,144k,147k,144k,152k,146k,162k,163k,171k,171k,171k,172k,173k,183k,175k,177k,171k,172k,177k,177k,180k,182k,178k,173k,173k,176k,170k,182k,169k,166k,166k,159k,167k,167k,165k,162k
Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4k,8970,9360,10.3k,9840,9570,8590,8030,9890,9200,12k,13.5k,11.7k,11.4k,12.6k,11.4k,8270,17.7k,9230,7860,8250,8490,8080,9040,4640,11.6k,13.6k,2600,2310,2280,4340,4650,3710,3050,4720,4520,4470,4180,4380,242,1810,4810,4890,4720,4720,4950,4910,5120,5760,5540,5670,3910,4980,6000,5210,5880,6400,5390,5410,5490
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,7.33,3.67,,,,14.7,18.3,25.7,51.3,40.3,44,58.7,73.3,62.3,66,99,99,103,132,106,139,150,150,165,235,257,304,304,268,326,334,429,370,363,480,473,521,620,634,554,631,612,656,660,818,1030,906,1220,1090,1140,1250,1290,1420,1530,1560,1790,1750,1680,1950,2220,2080,2420,2470,2460,2910,3060,3130,3390,3390,4050,4160,3900,4250,4240,4160,4150,4230,4790,5720,5770,5940,6080,6880,6920,7720,8460,7900,3500,4460,5300,5310,3380,6490,6800,7730,7600,6370,8540,8460,9530,8730,8090,8650,9190,9490,9790,10.5k,11.8k,10.5k,12.5k,6520,4820,4630,5450,4880,4020,7080,10.6k,11k,10.4k,8440,9490,9700,9790,9890,11.4k,12k,11.4k,11.2k,11.8k,13.1k,13.3k,14.1k,15k,16.2k,16.4k,19.6k,19.3k,21.1k,22.2k,28k,27.2k,29.4k,30.5k,27.7k,30.7k,33.4k,33.4k,32.7k,34.8k,31.9k,32k,31.1k,32.1k,34k,32.5k,35.1k,33.5k,35.9k,34.5k,35.4k,33.8k,34.8k,36.3k,38.1k,38.7k,41.9k,42k,42.2k,43k,42.6k,43.9k,43k,44.4k,44.7k,44k,44.5k,46.3k,45.4k,43.9k,46.3k,45.5k,45.1k,45k,44.9k,45.3k,44.5k,43.7k,44.4k
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,29.3,29.3,36.7,40.3,44,47.7,55,58.7,66,80.7,80.7,88,99,150,180,191,213,253,400,227,198,268,422,425,352,282,337,329,513,542,454,443,493,702,677,698,861,977,894,767,1070,1290,1470,1700,2410,2460,2760,2230,3190,3040,3240,2600,2810,2640,3050,2530,2580,3390,4190,4900,5280,5530,6290,7670,6020,8850,9110,9460
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,33,33,47.7,47.7,66,66,88,77,84.3,99,103,103,114,114,114,125,125,125,125,125,125,161,158,158,158,125,125,121,114,110,106,103,103,99,91.7,84.3,80.7,77,66,66,62.3,44,44,44,40.3,44,40.3,40.3,44,47.7,47.7,47.7,48.9,50.3
